regional-access000544756,['regional access', 'V100382', 'XX-120', '02/01/21', '000544756', Decimal('2247.000')]
myers-produce30382,['myers produce', 'V100928', 'XX-116', '02/01/21', '30382', Decimal('3358.610')]
jedda976416,['jedda', 'V100231', 'XX-113', '02/01/21', '976416', Decimal('8350.600')]
baldor19068896,['baldor', 'V100038', 'XX-101', '02/01/21', '19068896', Decimal('4891.250')]
alberts-organicsE2101-02173,['alberts organics', 'V100012', 'XX-100', '02/01/21', 'E2101-02173', Decimal('3020.170')]
